ID;lon;lat;all_tags;name;zip;address;city;WKT
180;13.36;52.56;DKV - ARAL Station  13409 Berlin  Residenzstr. 29;ARAL;13409;Residenzstr. 29;Berlin;POINT(13.3616862 52.5683989)
181;13.37;52.55;DKV - SPRINT Station  13409 Berlin  Residenzstr. 79;SPRINT;13409;Residenzstr. 79;Berlin;POINT(13.370558 52.558851)
182;13.36;52.56;DKV - TOTAL Station  13409 Berlin  Markstr. 43 - 44;TOTAL;13409;Markstr. 43 - 44;Berlin;POINT(13.364871 52.562303)
183;13.34;52.59;DKV - ESSO Station  13435 Berlin  Wilhelmsruher Damm 160 / 164;ESSO;13435;Wilhelmsruher Damm 160 / 164;Berlin;POINT(13.346873 52.59653)
184;13.33;52.59;DKV - SUN Station  13437 Berlin  Oranienburger Str. 181;SUN;13437;Oranienburger Str. 181;Berlin;POINT(13.332048 52.598691)
185;13.34;52.59;DKV - AGIP Station  13439 Berlin  Dannenwalder Weg 69;AGIP;13439;Dannenwalder Weg 69;Berlin;POINT(13.3467029 52.5915272)
186;13.30;52.61;DKV - AUTO SPREVES Station  13467 Berlin  Hermsdorfer Damm 180;AUTO SPREVES;13467;Hermsdorfer Damm 180;Berlin;POINT(13.3040507 52.6192636)
187;13.31;52.62;DKV - ESSO Station  13467 Berlin  Hermsdorfer Damm 221;ESSO;13467;Hermsdorfer Damm 221;Berlin;POINT(13.312269 52.622566)
188;13.31;52.61;DKV - HEM Station  13467 Berlin  Berliner Str. 140;HEM;13467;Berliner Str. 140;Berlin;POINT(13.31504 52.61329)
189;13.32;52.60;DKV - HEM Station  13469 Berlin  Zabel-Krüger-Damm 20;HEM;13469;Zabel-Krüger-Damm 20;Berlin;POINT(13.327635 52.608672)
190;13.31;52.61;DKV - STAR Station  13469 Berlin  Oraniendamm 28;STAR;13469;Oraniendamm 28;Berlin;POINT(13.3189004 52.6110484)
191;13.23;52.62;DKV - SHELL Station  13503 Berlin  Ruppiner Chaussee 339;SHELL;13503;Ruppiner Chaussee 339;Berlin;POINT(13.2367322 52.6205827)
192;13.24;52.60;DKV - STAR Station  13503 Berlin  Heiligenseestr. 28;STAR;13503;Heiligenseestr. 28;Berlin;POINT(13.2430773 52.601674)
193;13.23;52.58;DKV - TOTAL Station  13505 Berlin  Habichtstr. 11 - 13;TOTAL;13505;Habichtstr. 11 - 13;Berlin;POINT(13.2314623 52.5857246)
194;13.29;52.58;DKV - ARAL Station  13507 Berlin  Berliner Str. 67;ARAL;13507;Berliner Str. 67;Berlin;POINT(13.2912007 52.5812844)
195;13.30;52.57;DKV - HEM Station  13509 Berlin  Wittestr. 16;HEM;13509;Wittestr. 16;Berlin;POINT(13.306433 52.57751)
196;13.29;52.57;DKV - JET Station  13509 Berlin  Holzhauser Straße 34;JET;13509;Holzhauser Straße 34;Berlin;POINT(13.299122 52.578658)
197;13.29;52.59;DKV - STAR Station  13509 Berlin  Waidmannsluster Damm 54;STAR;13509;Waidmannsluster Damm 54;Berlin;POINT(13.298681 52.59829)
198;13.19;52.52;DKV - SUN Station  13581 Berlin  Klosterstr. 20;SUN;13581;Klosterstr. 20;Berlin;POINT(13.195175 52.529463)
